time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.4166667,-5.57373471,0.55128787,1.77321215,0.15670133,0.50559979,-0.0380441,57.32054732,-22.9016821,7.42886496,131.84894118,50.0,13.29863889,0.0,98.65888681,-0.68726161,-14.61400164,53.66482128,-5.84900611,-3.36251631,0.0,-46.85153547,-9.38766803,8.36990303,92.78258494,1.10800755,13.88759375,55.01289287,85.47922302,28.85712236,-6.21542659,6.94068095,51.58746875,76.10428334
0.4333333,-3.74517582,1.36148936,1.21374868,0.13852069,0.50283826,-0.03651023,58.12449433,-21.9747491,8.36580555,132.39056956,50.0,11.76784044,0.0,96.02664337,-0.1525207,-13.66710092,50.46858281,-8.62165649,-5.50421486,0.0,-46.84480108,-10.2482335,11.09644439,90.62986361,0.51290572,17.36190696,50.92236013,85.56857888,25.94366463,-6.8445078,9.02268663,52.89256925,75.97047955
0.45,-1.09497239,1.55884267,2.37699846,0.13472744,0.50377503,-0.03186197,57.7296071,-22.98079992,8.73987409,133.82967582,50.0,12.06618436,0.0,93.36370393,1.55830337,-12.49617973,49.42552662,-9.16584346,-6.43983438,0.0,-47.03303034,-9.32269201,13.85943182,88.18564329,-0.51513622,23.40069877,46.35818915,81.66317671,24.01000931,-7.89495347,12.98168021,51.81112434,71.56487946
0.4666667,1.77693679,1.73986018,3.61955302,0.12391956,0.50940678,-0.02799975,56.45643327,-23.92151435,7.85111587,133.7739686,50.0,12.67186695,0.0,90.13448358,3.20794643,-11.50112996,48.02828793,-10.10811507,-8.19747575,0.0,-47.57421942,-8.40095181,16.38400977,85.54673117,-0.18183474,24.98750768,41.43727722,81.17928064,22.1036643,-9.63995332,16.47659663,50.33807916,71.45401082
0.4833333,3.92656393,1.32187584,3.86016511,0.12468896,0.50712635,-0.02355946,54.43263968,-23.9875098,5.48299047,134.04949687,50.0,10.08196694,0.0,88.17163567,3.64009468,-10.19743478,47.31803109,-10.81161027,-9.62266899,0.0,-46.15787137,-7.40648901,20.71717664,81.72161172,-1.03799479,29.82143534,36.15482295,80.55056896,19.98665341,-11.29935165,21.47787008,45.77240827,70.34523248
0.5,5.3676439,1.0379438,3.67227136,0.11780352,0.50957578,-0.02336439,53.01398711,-23.52943279,3.33171329,133.20671108,50.0,7.2692731,0.0,86.62955693,3.95137199,-8.53711962,47.00702813,-11.00791055,-11.20844539,0.0,-44.4363539,-6.61829443,24.65100207,77.63103347,-1.94474725,35.74898768,32.10033608,77.49539668,18.06400122,-13.77000459,28.31293648,41.59116977,66.06196291
0.5166667,7.61959938,0.71239766,3.81497592,0.11891635,0.5144838,-0.01750927,50.44274285,-23.92476302,1.658575,133.15871422,50.0,7.8819317,0.0,84.2146544,4.26474668,-6.65357156,46.88288943,-11.2518467,-12.34140793,0.0,-43.53628896,-5.75319333,27.95663735,73.35581552,-1.90043994,39.40386616,26.89184367,75.73623036,16.62653599,-16.14260591,33.44305087,37.0748272,63.46779794
0.5333333,9.55948498,0.40380297,3.37313789,0.11126568,0.5112408,-0.01482662,50.28206463,-23.69835805,1.40311337,134.19796695,46.74747957,5.15729734,0.0,82.69778575,4.15622339,-4.97673828,47.09183233,-11.09869371,-14.07382372,0.0,-42.70106777,-4.71241479,31.09606097,69.53271363,-1.7010052,45.00342032,22.75243261,73.06383393,15.57716624,-19.65483967,40.81522483,37.41687544,59.91848941
0.55,11.20551796,-0.12250621,3.27223332,0.10879976,0.51177438,-0.01436014,49.0442148,-23.70973113,0.78115326,134.77756775,43.82969497,3.45765311,0.0,81.22225121,4.08078254,-4.05617963,46.73553762,-12.10825985,-15.22560862,0.0,-41.76691884,-3.66538958,33.78843191,65.07858593,-1.63932309,49.60701264,19.80671122,69.64301731,14.88005414,-23.07342143,44.83474484,40.02544061,56.38923443
0.5666667,12.45786327,-0.57475065,2.88357275,0.11132741,0.51600779,-0.01364824,47.91086969,-23.29907912,-0.2524275,134.16855487,43.05697232,2.75220122,0.0,79.57762355,3.72063502,-3.64678633,45.96449925,-11.87544983,-16.87327644,0.0,-40.83794357,-2.84325595,36.18032453,61.21869482,-1.46980378,57.4855083,16.44395165,64.59787946,14.98983363,-26.01597546,48.69945223,42.43430668,52.19708968
0.5833333,12.93445191,-1.43026955,2.00886499,0.10581527,0.5112001,-0.01171375,48.28497069,-22.37735902,-0.58083315,134.78409839,40.98032949,0.99818285,0.0,79.89583449,2.86177557,-2.65681589,46.46218184,-12.57363879,-18.36480982,0.0,-39.84393505,-1.74207647,37.51412406,57.89563739,-0.67489175,59.53245637,15.66770109,62.95698268,14.86594972,-28.64457338,49.02632699,45.80837924,51.78476553
0.6,13.81424735,-1.93864203,1.6114796,0.10335606,0.51188013,-0.01102068,48.48763248,-22.05934039,-1.19201607,135.4377956,38.63166393,-1.48722479,0.0,79.47093511,2.51833246,-1.77024674,46.77245886,-12.67738168,-19.63116529,0.0,-39.41002058,-0.73130091,38.07968544,55.72935153,0.24994884,63.34126334,13.95844126,61.52664426,13.05840007,-31.86258281,49.79741654,49.42201169,51.03206068
0.6166667,14.18802788,-2.47033208,1.28819817,0.10122804,0.51029454,-0.00969328,49.04946438,-21.64236893,-1.7348793,136.06747761,36.27583404,-3.89048701,0.0,79.17248366,2.18395414,-1.03707231,46.34490117,-12.7015822,-20.23491716,0.0,-39.03307178,0.48447707,37.04794039,55.16216702,1.85638607,70.8400406,12.47390813,57.69210781,9.11646813,-34.70059096,47.72306223,52.75143622,48.56198852
